,area,com_client,comment,goods_name,score,times,user_grade,user_id
0,广东,来自京东iPhone客户端,假酒。便宜没好货 喝完头超疼,梅洛-红,grade-star g-star1,2016-08-18 16:51,铜牌会员,j***6
1,,来自京东iPhone客户端,红酒最基本的木塞都没有 真差这酒,梅洛-红,grade-star g-star1,2016-09-03 14:28,银牌会员,j***p
2,广东,来自京东iPhone客户端,酒不杂样,西拉-红,grade-star g-star1,2016-08-23 16:45,金牌会员,j***m
3,,来自京东iPhone客户端,居然写错收件人名称，幸亏别人拿回家又送回来！,梅洛-红,grade-star g-star1,2016-09-01 18:39,银牌会员,R***S
4,,来自京东iPhone客户端,瓶盖破损了，两瓶都这样,西拉-红,grade-star g-star1,2016-09-03 14:18,铜牌会员,j***h
5,广东,来自京东iPhone客户端,图片上是14年的：送过来是15年,西拉-红,grade-star g-star1,2016-09-02 13:01,钻石会员,j***2
6,上海,来自京东iPhone客户端,这个连橡木塞都没有，感觉不是很好，味很冲，不太喜欢,梅洛-红,grade-star g-star1,2016-09-01 22:40,银牌会员,q***8
7,甘肃,来自京东iPhone客户端,假酒,西拉-红,grade-star g-star1,2016-08-24 17:01,铜牌会员,S***8
8,广东,来自京东iPhone客户端,*时都没有区别，酸，口感单调，没有果味，但总体比红米酒好！,西拉-红,grade-star g-star1,2016-08-31 20:04,钻石会员,天***心
9,,来自京东iPhone客户端,这个不想说什么了，买了第二天*，感觉被坑了,西拉-红,grade-star g-star1,2016-08-28 19:51,铜牌会员,j***5
10,北京,来自京东iPad客户端,特别难喝，酒很酸，和在超市买的梅洛干红完全不同，感觉是假酒。,梅洛-红,grade-star g-star1,2016-08-20 02:53,金牌会员,jdhyyman
11,上海,来自京东iPhone客户端,酒精味很重，铝盖不是软木塞，不会再买了，不好喝,加本力梅洛-红,grade-star g-star1,2016-08-25 20:32,金牌会员,赤***酷
12,,,业,梅洛-红,grade-star g-star1,2016-08-22 10:45,银牌会员,一***风
13,,来自京东Android客户端,这酒不好喝了，苦的！,西拉-红,grade-star g-star1,2016-08-24 16:18,银牌会员,I***H
14,福建,来自京东iPhone客户端,放在蜂巢就算了，蜂巢,西拉-红,grade-star g-star1,2016-08-25 12:12,钻石会员,饭***团
15,广东,来自京东iPhone客户端,*也不宁愿要。真的是火。酒年份还是最新的。真的难喝。大家不要买。,西拉-红,grade-star g-star1,2016-08-23 02:44,银牌会员,j***p
16,广东,来自京东Android客户端,很一般，酒味大过果味，不是原瓶进口，是国内灌装的。,加本力梅洛-红,grade-star g-star1,2016-08-23 21:58,钻石会员,s***4
17,广东,来自京东Android客户端,很一般，酒味大过果味，不是原瓶进口，是国内灌装的。,梅洛-红,grade-star g-star1,2016-08-23 21:58,钻石会员,s***4
18,,,价格不给力，但35难得，39也可以勉强买一支,梅洛-红,grade-star g-star1,2016-08-22 02:31,银牌会员,j***l
19,天津,来自京东iPhone客户端,我觉得这评价系统做的很不人性化，我觉得好，给5颗星，觉得非常好，在写点字。干嘛非强制写字啊！就因为这也得差评。京东就差评。客户体验啊！！,西拉-红,grade-star g-star1,2016-06-25 15:55,钻石会员,o***m
20,天津,来自京东iPhone客户端,我觉得这评价系统做的很不人性化，我觉得好，给5颗星，觉得非常好，在写点字。干嘛非强制写字啊！就因为这也得差评。京东就差评。客户体验啊！！,加本力梅洛-红,grade-star g-star1,2016-06-25 15:55,钻石会员,o***m
21,天津,来自京东iPhone客户端,非常难喝的酒，连木塞都没有也叫红酒啊，居然销量还这么好,加本力梅洛-红,grade-star g-star1,2016-08-13 21:53,钻石会员,1***处
22,北京,来自京东iPhone客户端,真的挺恶心的 从来懒得评论 但这次要给个带图评论 打开瓶盖里面有黑绿色污垢 很多 还湿湿的 像某种贝类的内脏那样 擦了半天意识到这可能是发霉 只有纸巾上残留的痕迹 酒已经扔了 可能这种发霉酒不常见吧 但又不是木塞没道理啊 再也不在京东买酒了谁爱买谁买吧 祝好运,幕斯卡白,grade-star g-star1,2016-08-22 01:12,金牌会员,b***n
23,四川,来自京东iPhone客户端,吧,西拉-红,grade-star g-star1,2016-08-19 21:40,银牌会员,j***9
24,北京,,酒有问题 十个经常喝酒的人喝四瓶 大多数不省人事大约两小时,梅洛-红,grade-star g-star1,2016-07-28 14:11,钻石会员,j***z
25,北京,,酒有问题 十个经常喝酒的人喝四瓶 大多数不省人事大约两小时,西拉-红,grade-star g-star1,2016-07-28 14:11,钻石会员,j***z
26,北京,,酒有问题 十个经常喝酒的人喝四瓶 大多数不省人事大约两小时,霞多丽白,grade-star g-star1,2016-07-28 14:11,钻石会员,j***z
27,北京,,酒有问题 十个经常喝酒的人喝四瓶 大多数不省人事大约两小时,幕斯卡白,grade-star g-star1,2016-07-28 14:11,钻石会员,j***z
28,,来自微信购物,商品与网上不同，骗人的，大家不要买它,加本力苏维翁,grade-star g-star1,2016-08-19 11:20,银牌会员,Z***T
29,广东,来自京东iPhone客户端,垃圾,西拉-红,grade-star g-star1,2016-08-05 22:29,铜牌会员,t***m
30,广东,来自京东iPhone客户端,徦酒！京东也会卖酒吗????,梅洛-红,grade-star g-star1,2016-08-19 21:54,金牌会员,j***e
31,广东,来自京东iPhone客户端,假酒！打开，就有酒精味道十足！,加本力苏维翁,grade-star g-star1,2016-08-19 21:54,金牌会员,j***e
32,广东,来自京东iPhone客户端,一瓶47，买两瓶却是59一瓶价格？京东傻了，这次很有意见,梅洛-红,grade-star g-star1,2016-08-19 16:51,金牌会员,維维維
33,,来自微信购物,不满意。因为有一瓶渗出来了,幕斯卡桃红,grade-star g-star1,2016-08-15 02:19,铜牌会员,M***n
34,,来自京东iPhone客户端,不理想,西拉-红,grade-star g-star1,2016-05-28 11:16,银牌会员,我***4
35,上海,来自京东Android客户端,买2瓶酒就送来一瓶,梅洛-红,grade-star g-star1,2016-06-07 10:06,银牌会员,断***人
36,天津,,有一瓶瓶盖有问题，酒都流出来了，太垃圾了,桑格利亚,grade-star g-star1,2016-08-17 17:46,金牌会员,zhaoyi0126
37,,来自微信购物,这酒不怎么样,梅洛-红,grade-star g-star1,2016-05-19 12:50,铜牌会员,Z***9
38,广东,,假的，兑了水。用红酒滴在纸巾上有水迹扩散，口感很差。,加本力苏维翁,grade-star g-star1,2016-08-10 16:52,银牌会员,S***u
39,广东,来自京东iPhone客户端,假的。酒是酒，但不是这个酒，难喝。,加本力苏维翁,grade-star g-star1,2016-08-13 14:07,铜牌会员,M***R
40,广东,来自京东iPhone客户端,假的。酒是就，但不是这个酒。难喝。,西拉-红,grade-star g-star1,2016-08-13 14:07,铜牌会员,M***R
41,浙江,来自京东iPhone客户端,酒非常差。勾兑？,霞多丽白,grade-star g-star1,2016-07-30 05:34,金牌会员,j***4
42,,,不这么好喝,霞多丽白,grade-star g-star1,2016-08-09 18:47,铜牌会员,j***u
43,江苏,来自京东Android客户端,每次都不给送到门口，都要下楼去拿，烦,梅洛-红,grade-star g-star1,2016-06-22 22:08,金牌会员,z***w
44,,来自京东iPhone客户端,我买了两支，但请问只有一支有产品ID，令一支没有，商场卖的都有二维码的产品ID，请问是为什么呢？黄色那支是假货！？,西拉-红,grade-star g-star1,2016-07-25 21:11,银牌会员,j***6
45,,来自京东iPhone客户端,差评，差评，送人的还是，这不成心让人难堪嘛,幕斯卡桃红,grade-star g-star1,2016-08-03 10:34,铜牌会员,j***t
46,广东,来自京东Android客户端,第一次给差评，快递把红酒摔碎了，赔付款到现在还没到位。找京东客服也解决不了，快递员电话也打不通，钱就当喂狗吧！！！,加本力苏维翁,grade-star g-star1,2016-07-26 10:11,钻石会员,k***n
47,,来自京东iPhone客户端,没有想象那么好 觉得还不值这个价钱,西拉-红,grade-star g-star1,2016-07-30 22:39,银牌会员,1***p
48,,来自京东iPhone客户端,没有想象那么好 觉得还不值这个价钱,幕斯卡白,grade-star g-star1,2016-07-30 22:39,银牌会员,1***p
49,,来自京东iPhone客户端,没有想象那么好 觉得还不值这个价钱,幕斯卡桃红,grade-star g-star1,2016-07-30 22:39,银牌会员,1***p
50,,来自京东iPhone客户端,没有想象那么好 觉得还不值这个价钱 就想锐澳鸡尾酒一样,加本力梅洛-红,grade-star g-star1,2016-07-30 22:39,银牌会员,1***p
51,,来自京东iPhone客户端,:-(,梅洛-红,grade-star g-star1,2016-07-13 19:23,金牌会员,J***U
52,广东,来自京东Android客户端,木塞都木有，口感好差，感觉买到假货，上次买的不是这个牌子，感觉好才再买，这次好失望。,西拉-红,grade-star g-star1,2016-07-24 11:30,银牌会员,j***f
53,江苏,来自京东Android客户端,不如长城！,加本力梅洛-红,grade-star g-star1,2016-06-10 11:09,钻石会员,j***0
54,,来自京东iPhone客户端,东哥 你卖这样的酒就预示了你也长久不了 真是的坑人啊,加本力苏维翁,grade-star g-star1,2016-07-22 17:16,银牌会员,jd_0393784
55,四川,,哦，超级难喝，超级不顺口，再也不会买了,起泡葡萄酒,grade-star g-star1,2016-07-20 11:35,钻石会员,v***2
56,福建,,N4 全网通 4GB+32GB 阳光白 移动联通电信4G手机 双卡双待,起泡葡萄酒,grade-star g-star1,2016-06-28 19:30,钻石会员,博***V
57,广东,来自京东iPhone客户端,酒瓶上那些尘垢让人反感，纸箱烂得用胶纸粘了一片又一片…酒瓶标签贴得歪歪的…正品？我只想到一个字，操…,加本力梅洛-红,grade-star g-star1,2016-07-15 02:05,金牌会员,难***7
58,北京,来自京东Android客户端,这跟中国的菠萝啤酒味差不多，这么差的酒纯粹就是糊弄人,加本力苏维翁,grade-star g-star1,2016-06-11 20:24,金牌会员,j***m
59,北京,来自京东Android客户端,这跟中国的菠萝啤酒味差不多，这么差的酒纯粹就是糊弄人,西拉-红,grade-star g-star1,2016-06-11 20:24,金牌会员,j***m
60,北京,来自京东Android客户端,这跟中国的菠萝啤酒味差不多，这么差的酒纯粹就是糊弄人,幕斯卡白,grade-star g-star1,2016-06-11 20:24,金牌会员,j***m
61,北京,来自京东Android客户端,这跟中国的菠萝啤酒味差不多，这么差的酒纯粹就是糊弄人,幕斯卡桃红,grade-star g-star1,2016-06-11 20:24,金牌会员,j***m
62,北京,来自京东Android客户端,这跟中国的菠萝啤酒味差不多，这么差的酒纯粹就是糊弄人,加本力梅洛-红,grade-star g-star1,2016-06-11 20:24,金牌会员,j***m
63,,来自京东Android客户端,难喝！！,加本力苏维翁,grade-star g-star1,2016-07-08 11:17,钻石会员,心***g
64,海南,来自京东Android客户端,垃圾,梅洛-红,grade-star g-star1,2016-06-19 00:15,银牌会员,l***n
65,,来自京东Android客户端,不太好喝，酒味太冲。,梅洛-红,grade-star g-star1,2016-07-14 13:23,铜牌会员,j***w
66,,来自京东iPhone客户端,哼,西拉-红,grade-star g-star1,2016-07-01 11:56,银牌会员,q***e
67,,来自京东Android客户端,不知道啥味道，尝了一口都不想喝了，涩，酒精味浓，炝鼻，这么多好评是怎么出来的？表示怀疑！,梅洛-红,grade-star g-star1,2016-07-11 23:38,银牌会员,行***c
68,,来自微信购物,买13年的怎么发的是15年的，口感太涩，酒精味浓，＊,加本力苏维翁,grade-star g-star1,2016-07-13 22:25,铜牌会员,M***q
69,广东,来自京东Android客户端,没注意看，居然是发泡葡萄酒，还带甜味，跟喝汽水一样，不值这个价。,幕斯卡白,grade-star g-star1,2016-07-09 17:29,金牌会员,愤***夫
70,广东,来自京东Android客户端,品质太差,西拉-红,grade-star g-star1,2016-07-08 20:55,金牌会员,l***g
71,江苏,,"*
老子花了这么钱混到金牌,你把我黑号了,以后大家电,下单后都拒收",西拉-红,grade-star g-star1,2016-06-24 22:40,金牌会员,只***尔
72,,来自微信购物,这哪里是酒呀！太垃圾了 不能喝的 还京东自营 以后再也不会相信网上的东西了,西拉-红,grade-star g-star1,2016-06-30 15:38,铜牌会员,j***I
73,,来自微信购物,垃圾 根本不能喝 扔了,梅洛-红,grade-star g-star1,2016-06-30 15:38,铜牌会员,j***I
74,,来自微信购物,这哪里是酒呀 垃圾 说什么带违规词语 不能评论,霞多丽白,grade-star g-star1,2016-06-30 15:38,铜牌会员,j***I
75,广东,来自京东Android客户端,买了5瓶，其中3瓶明显味道很差，差点吐出来，难以下咽，两瓶口味正常，是不是参了假酒买……郁闷，以后不会再在京东买红酒了,西拉-红,grade-star g-star1,2016-06-27 14:22,钻石会员,S***I
76,广东,来自京东Android客户端,买了5瓶，其中3瓶明显味道很差，差点吐出来，难以下咽，两瓶口味正常，是不是参了假酒买……郁闷，以后不会再在京东买红酒了,加本力梅洛-红,grade-star g-star1,2016-06-27 14:22,钻石会员,S***I
77,广东,来自京东iPhone客户端,不好喝,西拉-红,grade-star g-star1,2016-07-01 23:38,铜牌会员,j***h
78,,来自微信购物,卖14年份送15年份来,西拉-红,grade-star g-star1,2016-07-04 15:09,铜牌会员,h***K
79,辽宁,来自京东iPhone客户端,不咋地连木塞都没有，一宁就开的呵呵了,加本力梅洛-红,grade-star g-star1,2016-04-17 19:41,金牌会员,h***u
80,,来自京东iPhone客户端,不好喝，味道太假了，喝了喉咙不舒服,梅洛-红,grade-star g-star1,2016-06-24 22:35,银牌会员,m***g
81,上海,,质量差差差,加本力苏维翁,grade-star g-star1,2016-04-04 00:04,钻石会员,上***8
82,上海,,"口感差, 太失望了",西拉-红,grade-star g-star1,2016-04-04 00:04,钻石会员,上***8
83,广东,来自京东iPhone客户端,價格比國外便宜 但不一樣 味道差很多氧化半個小時酒精味還是很大,西拉-红,grade-star g-star1,2016-06-29 14:39,铜牌会员,j***1
84,河南,来自京东Android客户端,再次购买就是不到货,梅洛-红,grade-star g-star1,2016-05-12 09:14,金牌会员,j***q
85,,来自京东Android客户端,专门等喝了之后再来评价的 自我感觉不怎么样 不知道是不是因为是半干的原因 反正口感真不咋滴 就闻着还有点味道 喝了后没有红酒该有的那种回味 这个价这种酒 实在不推荐！,加本力梅洛-红,grade-star g-star1,2016-06-22 17:16,金牌会员,三***夜
86,,,定的14年的， 发来的是16年的。京东*,西拉-红,grade-star g-star1,2016-06-18 14:05,银牌会员,j***8
87,,来自京东Android客户端,不建议买不建议买不建议买不建议买,梅洛-红,grade-star g-star1,2016-06-11 01:35,金牌会员,z***0
88,,来自京东Android客户端,难喝，不建议买,加本力梅洛-红,grade-star g-star1,2016-06-11 01:35,金牌会员,zj101010
89,广东,来自京东Android客户端,瓶子有点脏，不像是新包装，感觉一般般,西拉-红,grade-star g-star1,2016-06-18 10:57,银牌会员,j***t
90,,来自京东iPhone客户端,不好喝，味道太假了，喝了喉咙不舒服,梅洛-红,grade-star g-star1,2016-06-24 22:35,银牌会员,m***g
91,上海,,质量差差差,加本力苏维翁,grade-star g-star1,2016-04-04 00:04,钻石会员,上***8
92,上海,,"口感差, 太失望了",西拉-红,grade-star g-star1,2016-04-04 00:04,钻石会员,上***8
93,广东,来自京东iPhone客户端,價格比國外便宜 但不一樣 味道差很多氧化半個小時酒精味還是很大,西拉-红,grade-star g-star1,2016-06-29 14:39,铜牌会员,j***1
94,河南,来自京东Android客户端,再次购买就是不到货,梅洛-红,grade-star g-star1,2016-05-12 09:14,金牌会员,j***q
95,,来自京东Android客户端,专门等喝了之后再来评价的 自我感觉不怎么样 不知道是不是因为是半干的原因 反正口感真不咋滴 就闻着还有点味道 喝了后没有红酒该有的那种回味 这个价这种酒 实在不推荐！,加本力梅洛-红,grade-star g-star1,2016-06-22 17:16,金牌会员,三***夜
96,,,定的14年的， 发来的是16年的。京东*,西拉-红,grade-star g-star1,2016-06-18 14:05,银牌会员,j***8
97,,来自京东Android客户端,不建议买不建议买不建议买不建议买,梅洛-红,grade-star g-star1,2016-06-11 01:35,金牌会员,z***0
98,,来自京东Android客户端,难喝，不建议买,加本力梅洛-红,grade-star g-star1,2016-06-11 01:35,金牌会员,zj101010
99,湖北,来自京东iPhone客户端,说好送香槟杯的，根本没收到！根本没有杯子，买了五瓶连个杯子都不送，稀烂，不要说什么缺货，我当时看见显示缺货还特地问了，确定有送才买的，*子！,桃红起泡,grade-star g-star1,2016-06-08 10:25,银牌会员,j***y
100,湖北,来自京东iPhone客户端,说好送香槟杯的，根本没收到！根本没有杯子，买了五瓶连个杯子都不送，稀烂，不要说什么缺货，我当时看见显示缺货还特地问了，确定有送才买的，*子！,幕斯卡桃红,grade-star g-star1,2016-06-08 10:25,银牌会员,j***y
101,,来自京东Android客户端,真的一星都不想给，几天没有就降价了。,加本力梅洛-红,grade-star g-star1,2016-06-04 21:50,金牌会员,jd_? 陪伴是最
102,,,*酒害人啊，明显就是酒精勾兑的,霞多丽白,grade-star g-star1,2016-05-20 16:35,金牌会员,红***驴
103,,,*酒害人啊，明显就是酒精勾兑的,西拉-红,grade-star g-star1,2016-05-20 16:35,金牌会员,红***驴
104,,来自京东iPhone客户端,酒不行，以后再也不买便宜货了，铝盖，不好保存，喝起来特别浓的酒味,加本力梅洛-红,grade-star g-star1,2016-06-10 22:46,银牌会员,陈***星
105,,来自京东Android客户端,这个真心不好喝,西拉-红,grade-star g-star1,2016-05-19 00:14,金牌会员,j***1
106,河北,来自京东Android客户端,很好很好很好,西拉-红,grade-star g-star1,2016-06-03 20:54,金牌会员,京***晓
107,,来自京东Android客户端,包装太差，一下子碎了。,梅洛-红,grade-star g-star1,2016-06-04 17:29,钻石会员,j***8
108,,来自京东Android客户端,包装太差，一下子碎了。,幕斯卡白,grade-star g-star1,2016-06-04 17:29,钻石会员,j***8
109,,来自京东Android客户端,包装太差，一下漏包碎了一瓶,加本力梅洛-红,grade-star g-star1,2016-06-04 17:29,钻石会员,j***8
110,,来自微信购物,4瓶酒烂1瓶，海口配送到琼中阳江用了6天时间，大家评评吧。,梅洛-红,grade-star g-star1,2016-05-24 14:20,铜牌会员,j***u
111,北京,来自京东Android客户端,这次购物颠覆了我对京东自营商品一直以来的良好印象，*,西拉-红,grade-star g-star1,2016-05-30 13:51,钻石会员,j***c
112,北京,,这酒难喝的很，*,起泡葡萄酒,grade-star g-star1,2016-05-08 11:37,钻石会员,清***呢
113,广东,,闻起来的味道像小时候练毛笔字的墨汁。,梅洛-红,grade-star g-star1,2016-05-17 21:44,钻石会员,j***i
114,,来自京东Android客户端,酒味太浓，味道难喝，有没有喝了这个红酒第二天早上起来头晕沉沉的上班一天都没有精神？这是我在京东购物买的最差的一次东西，也没有发票，发货还不错,加本力梅洛-红,grade-star g-star1,2016-05-23 11:32,银牌会员,1***p
115,湖北,来自京东Android客户端,送过来的酒漏了，漏了漏了！！啥也不说了,梅洛-红,grade-star g-star1,2016-05-24 20:42,金牌会员,天***2
116,北京,,放了有好多天，打开要喝的时候，竟然是没有木塞的，很简陋的瓶装，密封的还不如矿泉水瓶,梅洛-红,grade-star g-star1,2016-05-10 02:19,金牌会员,u***t
117,,来自京东Android客户端,大包装价格超6瓶单价总和，**啊京东,加本力苏维翁,grade-star g-star1,2016-05-16 21:11,银牌会员,x***2
118,,来自京东Android客户端,大包装价格超6瓶单价总和，**啊京东,西拉-红,grade-star g-star1,2016-05-16 21:11,银牌会员,x***2
119,,来自京东Android客户端,大包装价格超6瓶单价总和，**啊京东,幕斯卡白,grade-star g-star1,2016-05-16 21:11,银牌会员,x***2
120,,来自京东Android客户端,大包装价格超6瓶单价总和，**啊京东,幕斯卡桃红,grade-star g-star1,2016-05-16 21:11,银牌会员,x***2
121,,来自京东Android客户端,大包装价格超6瓶单价总和，**啊京东,加本力梅洛-红,grade-star g-star1,2016-05-16 21:11,银牌会员,x***2
122,,来自微信购物,不好喝，感觉好像是假的，我也说不好。,幕斯卡白,grade-star g-star1,2016-02-21 00:37,金牌会员,LDjMiFlpjcJh
123,浙江,,物流不给力，破损了也不通知，自营的东西4天也不拿来，退货也不让退货，还找什么配送不能退货。那京东7天无理由退货声明给谁看呢？？？,霞多丽白,grade-star g-star1,2016-05-06 10:18,金牌会员,大***鱼
124,,来自京东iPhone客户端,一点都不好喝。,梅洛-红,grade-star g-star1,2016-05-06 13:56,银牌会员,j***9
125,北京,来自京东iPhone客户端,一,加本力苏维翁,grade-star g-star1,2016-03-12 01:53,银牌会员,卡***娜
126,福建,来自京东iPhone客户端,差评，难喝，假的。,西拉-红,grade-star g-star1,2016-05-09 20:21,金牌会员,j***0
127,福建,,二维码都扫不出来，假酒。。。,梅洛-红,grade-star g-star1,2016-05-09 13:47,银牌会员,z***9
128,,来自京东iPhone客户端,很刺鼻的酒精味道，强烈怀疑是假酒。,梅洛-红,grade-star g-star1,2016-02-18 00:30,银牌会员,M***o
129,,,口感差，不好喝!,霞多丽白,grade-star g-star1,2016-05-07 16:31,银牌会员,J***9
130,广东,来自京东iPhone客户端,这次买的打开一股浓烈的酒精味，口感也与以往，不一样,梅洛-红,grade-star g-star1,2016-03-31 23:43,银牌会员,j***9
131,湖北,来自京东Android客户端,完全就是一果啤，木塞都没有，口味不咋地，,慕斯卡白,grade-star g-star1,2016-05-05 22:20,金牌会员,铁***队
132,,来自微信购物,京东卖假货,西拉-红,grade-star g-star1,2016-05-06 10:23,铜牌会员,IWbpeAIYHkRF
133,,来自微信购物,送货的经常换人每天问地址好烦人！好想投诉！,加本力苏维翁,grade-star g-star1,2016-04-01 16:39,银牌会员,cHGiMHjqqGjz
134,,来自微信购物,送货的经常换人每天问地址好烦人！好想投诉！,加本力梅洛-红,grade-star g-star1,2016-04-30 19:54,银牌会员,c***z
135,,来自京东Android客户端,不好喝,西拉-红,grade-star g-star1,2016-05-02 13:27,铜牌会员,噢***y
136,广东,来自京东Android客户端,一般般！ 不同提子也一样味！的,梅洛-红,grade-star g-star1,2016-04-12 16:16,金牌会员,j***s
137,上海,来自京东iPhone客户端,不好喝 后悔买了,西拉-红,grade-star g-star1,2016-03-20 11:09,金牌会员,j***8
138,,来自京东iPhone客户端,今天收到酒，尝了一下，真难喝，感受如下：苦涩、酒精味十足、感觉不是一般的勾兑酒。大家慎买。,西拉-红,grade-star g-star1,2016-04-28 20:59,钻石会员,安晗影1988
139,,,一般般，不好喝，很酸，酒精味很大，留了发票信息，竟然没给开发票，也没个说法,西拉-红,grade-star g-star1,2016-04-26 14:16,铜牌会员,jd_╰︶°跑跑
140,广东,来自京东iPhone客户端,不好喝2233333333333,慕斯卡桃红,grade-star g-star1,2016-04-25 12:46,钻石会员,r***8
141,广东,来自京东Android客户端,一样的酸，给一个星，不是用来喝的，招呼朋友，失礼人。差,桃红起泡,grade-star g-star1,2016-04-22 22:59,钻石会员,浩***人
142,广东,来自京东Android客户端,酸，很酸，像喝醋。不满意，下次不会再买。,起泡葡萄酒,grade-star g-star1,2016-04-22 22:59,钻石会员,浩***人
143,,,作为资深用户，可以查查，第一次打了几个1颗星，因为10瓶酒里面6瓶没用保护用的气囊，送货员一直只送到楼下，几十斤的东西让顾客去搬，你说恰当吗？下次我直接拒收,加本力苏维翁,grade-star g-star1,2016-04-23 12:17,钻石会员,jd_975521
144,四川,来自京东iPhone客户端,奉劝 不要在京东上买红酒 很不满意,加本力梅洛-红,grade-star g-star1,2016-02-04 10:03,钻石会员,成***羊
